section,group,metric,value
condition_ratios,wet_road,rate_ratio,2.646766949920268
condition_ratios,icy_road,rate_ratio,0.748442702255317
standardized_ratios,light_rain,rate_ratio,0.9780567595170049
standardized_ratios,heavy_rain,rate_ratio,0.9775987341904515
rate_by_rain_share,none,rate_per_1000h,713.8082012743016
rate_by_rain_share,none,n_hours,306050.0
rate_by_rain_share,none,n_accidents,218461.0
rate_by_rain_share,low,rate_per_1000h,812.5502602363348
rate_by_rain_share,low,n_hours,716272.0
rate_by_rain_share,low,n_accidents,582007.0
rate_by_rain_share,medium,rate_per_1000h,829.0883820362678
rate_by_rain_share,medium,n_hours,320891.0
rate_by_rain_share,medium,n_accidents,266047.0
rate_by_rain_share,high,rate_per_1000h,685.7048409608462
rate_by_rain_share,high,n_hours,27226.0
rate_by_rain_share,high,n_accidents,18669.0
rate_by_frost_share_winter,none,rate_per_1000h,741.1820967773418
rate_by_frost_share_winter,none,n_hours,204924.0
rate_by_frost_share_winter,none,n_accidents,151886.0
rate_by_frost_share_winter,low,rate_per_1000h,646.6528912066647
rate_by_frost_share_winter,low,n_hours,152445.0
rate_by_frost_share_winter,low,n_accidents,98579.0
rate_by_frost_share_winter,medium,rate_per_1000h,565.8290818129143
rate_by_frost_share_winter,medium,n_hours,141518.0
rate_by_frost_share_winter,medium,n_accidents,80075.0
rate_by_frost_share_winter,high,rate_per_1000h,480.6925795053004
rate_by_frost_share_winter,high,n_hours,70750.0
rate_by_frost_share_winter,high,n_accidents,34009.0
severity_by_road_condition,dry,share_severe,0.18669964571020728
severity_by_road_condition,dry,n_accidents,893901.0
type_by_road_condition,dry,share_loss_of_control,0.17189151818825574
severity_by_road_condition,wet,share_severe,0.1678476217202189
severity_by_road_condition,wet,n_accidents,285080.0
type_by_road_condition,wet,share_loss_of_control,0.25131892802020483
severity_by_road_condition,icy,share_severe,0.1683590322176257
severity_by_road_condition,icy,n_accidents,23931.0
type_by_road_condition,icy,share_loss_of_control,0.6375412644686808
severity_by_road_condition,all,chi2_p_value,8.926954290154031e-122
region_adverse_weather,urban,share_severe,0.15426901024734413
region_adverse_weather,urban,share_loss_of_control,0.2644910987280827
region_adverse_weather,urban,n_accidents,186097.0
region_adverse_weather,rural,share_severe,0.20499239710579759
region_adverse_weather,rural,share_loss_of_control,0.358193266591148
region_adverse_weather,rural,n_accidents,97989.0
region_severity_test,urban_vs_rural,chi2_p_value,3.9237639121939425e-282
