"Kreise (2020) Kennziffer";"Kreise (2020) Name";"Siedlungsstruktureller Kreistyp (2020) Kennziffer";"Siedlungsstruktureller Kreistyp (2020) Name"
"09377000";"Tirschenreuth";"4";"Dünn besiedelter ländlicher Kreis"
"09461000";"Bamberg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09462000";"Bayreuth";"4";"Dünn besiedelter ländlicher Kreis"
"09463000";"Coburg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09464000";"Hof";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09471000";"Bamberg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09472000";"Bayreuth";"4";"Dünn besiedelter ländlicher Kreis"
"09473000";"Coburg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09474000";"Forchheim";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09475000";"Hof";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09476000";"Kronach";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09477000";"Kulmbach";"4";"Dünn besiedelter ländlicher Kreis"
"09478000";"Lichtenfels";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09479000";"Wunsiedel i.Fichtelgebirge";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09561000";"Ansbach";"4";"Dünn besiedelter ländlicher Kreis"
"09562000";"Erlangen";"1";"kreisfreie Großstadt"
"09563000";"Fürth";"1";"kreisfreie Großstadt"
"09564000";"Nürnberg";"1";"kreisfreie Großstadt"
"09565000";"Schwabach";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09571000";"Ansbach";"4";"Dünn besiedelter ländlicher Kreis"
"09572000";"Erlangen-Höchstadt";"2";"Städtischer Kreis"
"09573000";"Fürth";"2";"Städtischer Kreis"
"09574000";"Nürnberger Land";"2";"Städtischer Kreis"
"09575000";"Neustadt a.d.Aisch-Bad Windsheim";"4";"Dünn besiedelter ländlicher Kreis"
"09576000";"Roth";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09577000";"Weißenburg-Gunzenhausen";"4";"Dünn besiedelter ländlicher Kreis"
"09661000";"Aschaffenburg";"2";"Städtischer Kreis"
"09662000";"Schweinfurt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09663000";"Würzburg";"1";"kreisfreie Großstadt"
"09671000";"Aschaffenburg";"2";"Städtischer Kreis"
"09672000";"Bad Kissingen";"4";"Dünn besiedelter ländlicher Kreis"
"09673000";"Rhön-Grabfeld";"4";"Dünn besiedelter ländlicher Kreis"
"09674000";"Haßberge";"4";"Dünn besiedelter ländlicher Kreis"
"09675000";"Kitzingen";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09676000";"Miltenberg";"2";"Städtischer Kreis"
"09677000";"Main-Spessart";"4";"Dünn besiedelter ländlicher Kreis"
"09678000";"Schweinfurt";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09679000";"Würzburg";"2";"Städtischer Kreis"
"09761000";"Augsburg";"1";"kreisfreie Großstadt"
"09762000";"Kaufbeuren";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09763000";"Kempten (Allgäu)";"4";"Dünn besiedelter ländlicher Kreis"
"09764000";"Memmingen";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09771000";"Aichach-Friedberg";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09772000";"Augsburg";"2";"Städtischer Kreis"
"09773000";"Dillingen a.d.Donau";"4";"Dünn besiedelter ländlicher Kreis"
"09774000";"Günzburg";"2";"Städtischer Kreis"
"09775000";"Neu-Ulm";"2";"Städtischer Kreis"
"09776000";"Lindau (Bodensee)";"2";"Städtischer Kreis"
"09777000";"Ostallgäu";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09778000";"Unterallgäu";"3";"Ländlicher Kreis mit Verdichtungsansätzen"
"09779000";"Donau-Ries";"4";"Dünn besiedelter ländlicher Kreis"
"09780000";"Oberallgäu";"4";"Dünn besiedelter ländlicher Kreis"
"10041000";"Regionalverband Saarbrücken";"2";"Städtischer Kreis"
"10042000";"Merzig-Wadern";"2";"Städtischer Kreis"
"10043000";"Neunkirchen";"2";"Städtischer Kreis"
